customer_id,first_name,last_name,gender,age,date_of_birth,month_of_birth,year_of_birth,email,phone,address,city,state,ZIP,latitude,longitude
72c00ba8bc7,James,Butt,Female,33,17,8,1990,jbutt@gmail.com,504-621-8927,6300 Maddox Blvd,Chincoteague Island,Virginia (VA),23336,37.933822,-75.365329
b18a428ac77,Josephine,Darakjy,Male,34,28,6,1989,josephine_darakjy@darakjy.org,810-292-9388,4068 Lankford Hwy,Exmore,Virginia (VA),23350,37.517799,-75.831766
2fdd0374a03,Art,Venere,Male,60,25,9,1963,,,411 S Hicks St,Lawrenceville,Virginia (VA),23868,36.752769,-77.852181
dc6358b12c3,Lenna,Paprocki,Female,50,27,7,1973,lpaprocki@hotmail.com,,10132 Hull St Rd,Midlothian,Virginia (VA),23112,37.443143,-77.583137
c12e35b23ad,Donette,Foller,Female,47,17,11,1976,donette.foller@cox.net,,Nas Oceana Building 531,Virginia Beach,Virginia (VA),23460,36.806975,-76.029401
2c82e1212b8,Simona,Morasca,Female,49,31,8,1974,,,2061 Walmart Way,Midlothian,Virginia (VA),23113,37.527219,-77.653555
08c76c3f441,Mitsue,Tollner,Male,39,21,11,1984,,773-573-6914,3420 Holland Rd,Virginia Beach,Virginia (VA),23452,36.806403,-76.090641
ad5aae0d407,Leota,Dilliard,Male,39,21,1,1984,leota@hotmail.com,408-752-3500,1121 Mall Dr,Richmond,Virginia (VA),23235,37.507382,-77.606805
070956c5c65,Sage,Wieser,Female,24,19,3,1999,sage_wieser@cox.net,605-414-2147,5020 Ferrell Pkwy,Virginia Beach,Virginia (VA),23464,36.795253,-76.166045
43a302fa75b,Kris,Marrier,Male,34,17,6,1989,kris@gmail.com,410-655-8723,1901 Huguenot Rd,Richmond,Virginia (VA),23235,37.520072,-77.615732
d9aea4042bb,Minna,Amigon,Male,53,28,10,1970,minna_amigon@yahoo.com,215-874-1229,2648 International Pkwy,Virginia Beach,Virginia (VA),23452,36.815178,-76.058093
2d772509598,Abel,Maclead,Female,39,22,6,1984,amaclead@gmail.com,,770 Lynnhaven Pkwy,Virginia Beach,Virginia (VA),23452,36.817186,-76.066746
0d75d92f0a3,Kiley,Caldarera,Male,53,23,12,1970,kiley.caldarera@aol.com,310-498-5651,601 Johnston Willis Dr,Richmond,Virginia (VA),23236,37.500767,-77.59102
76faec28612,Graciela,Ruta,Male,44,21,6,1979,gruta@cox.net,440-780-8425,2901 Sabre St,Virginia Beach,Virginia (VA),23452,36.822469,-76.07178
c1c4470b753,Cammy,Albares,Male,50,7,2,1973,calbares@gmail.com,956-537-6195,10800 Midlothian Tpke,Richmond,Virginia (VA),23235,37.506945,-77.596049
426023f0a08,Mattie,Poquette,Female,47,27,1,1976,,602-277-4385,10710 Midlothian Tpke,Richmond,Virginia (VA),23235,37.507103,-77.594564
7f04a7f8e98,Meaghan,Garufi,Male,34,23,11,1989,,931-313-9635,621 Lynnhaven Pkwy,Virginia Beach,Virginia (VA),23452,36.827629,-76.067358
6992c48a9a1,Gladys,Rim,Female,41,18,6,1982,,414-661-9598,448 Viking Dr,Virginia Beach,Virginia (VA),23452,36.827775,-76.070292
d4613ef426f,Yuki,Whobrey,Female,32,13,11,1991,yuki_whobrey@aol.com,313-288-7937,10221 Krause Rd,Chesterfield,Virginia (VA),23832,37.374409,-77.507465
f15456a0ee0,Fletcher,Flosi,Female,47,6,1,1976,fletcher.flosi@yahoo.com,815-828-2147,501 Viking Dr,Virginia Beach,Virginia (VA),23452,36.829526,-76.066199
9d11abf4130,Bette,Nicka,Male,33,16,9,1990,bette_nicka@cox.net,610-545-3615,10002 Courtview Ln,Chesterfield,Virginia (VA),23832,37.375708,-77.507653
df42f676898,Veronika,Inouye,Male,55,9,4,1968,vinouye@aol.com,408-540-1785,596 Lynnhaven Pkwy,Virginia Beach,Virginia (VA),23452,36.829248,-76.067172
a8c98787fcb,Willard,Kolmetz,Male,31,20,9,1992,willard@hotmail.com,972-303-9197,9901 Lori Rd,Chesterfield,Virginia (VA),23832,37.377232,-77.508159
426746260fc,Maryann,Royster,Female,34,17,12,1989,mroyster@royster.com,518-966-7987,2101 Parks Ave,Virginia Beach,Virginia (VA),23451,36.847482,-75.985982
4c83462c076,Alisha,Slusarski,Male,55,24,8,1968,alisha@slusarski.com,732-658-3154,7300 Whitepine Rd,Richmond,Virginia (VA),23237,37.397559,-77.517052
73a18d65ea2,Allene,Iturbide,Male,31,10,4,1992,allene_iturbide@cox.net,715-662-6764,13812 Boydton Plank Rd,Dinwiddie,Virginia (VA),23841,37.086809,-77.57754
a9408ebd394,Chanel,Caudy,Male,33,4,8,1990,chanel.caudy@caudy.org,913-388-2079,2100 Mediterranean Ave,Virginia Beach,Virginia (VA),23451,36.848063,-75.982295
e1b351aef8c,Ezekiel,Chui,Female,31,26,4,1992,ezekiel@chui.com,410-669-1642,200 Golden Oak Court,Virginia Beach,Virginia (VA),23452,36.832363,-76.070157
6e44c9ebefd,Willow,Kusko,Male,53,27,9,1970,wkusko@yahoo.com,212-582-4976,10326 Iron Bridge Rd,Chester,Virginia (VA),23831,37.372411,-77.501507
2c577ce5606,Bernardo,Figeroa,Female,28,7,10,1995,bfigeroa@aol.com,936-336-3951,2901 S Lynnhaven Rd,Virginia Beach,Virginia (VA),23452,36.832957,-76.070972
a327a261d9c,Ammie,Corrio,Female,33,26,1,1990,ammie@corrio.com,614-801-9788,901 Moorefield Park Dr,Richmond,Virginia (VA),23236,37.504608,-77.580851
224f3b4cffd,Francine,Vocelka,Male,46,8,5,1977,francine_vocelka@vocelka.com,505-977-3911,9100 Arboretum Pkwy,Richmond,Virginia (VA),23236,37.492223,-77.565505
e950ae3dc7b,Ernie,Stenseth,Female,21,20,3,2002,ernie_stenseth@aol.com,201-709-6245,52 Walnut St,Warsaw,Virginia (VA),22572,37.94771,-76.74606
cca36c4777f,Albina,Glick,Male,36,4,10,1987,albina@glick.com,732-924-7882,9748 Midlothian Tpke,Richmond,Virginia (VA),23235,37.50338,-77.575585
35a3cf60b95,Alishia,Sergi,Female,39,26,8,1984,asergi@gmail.com,212-860-1579,17422 Richmond Rd,Callao,Virginia (VA),22435,37.936106,-76.566983
601122e43a1,Solange,Shinko,Female,29,26,9,1994,solange@shinko.com,504-979-9175,9325 Midlothian Tpke,Richmond,Virginia (VA),23235,37.498555,-77.569689
25899a6af8a,Jose,Stockham,Female,38,15,6,1985,jose@yahoo.com,212-675-8570,400 Wright St,Tappahannock,Virginia (VA),22560,37.908102,-76.97803
4a1430c5218,Rozella,Ostrosky,Male,36,21,5,1987,rozella.ostrosky@ostrosky.com,805-832-6163,1396 Tappahannock Blvd,Tappahannock,Virginia (VA),22560,37.910158,-76.862304
cda5549cd1c,Valentine,Gillian,Female,59,13,12,1964,valentine_gillian@gmail.com,210-812-9597,300 Arboretum Pl,Richmond,Virginia (VA),23236,37.495272,-77.566592
8ca431487b2,Kati,Rulapaugh,Female,47,28,2,1976,kati.rulapaugh@hotmail.com,785-463-7829,89 N Main St,Kilmarnock,Virginia (VA),22482,37.713238,-76.381125
1b66fec77cc,Youlanda,Schemmer,Female,40,5,10,1983,youlanda@aol.com,541-548-8197,23845 Rogers Clark Blvd,Ruther Glen,Virginia (VA),22546,37.941011,-77.461902
1dc1f0886c5,Dyan,Oldroyd,Male,23,16,5,2000,doldroyd@aol.com,913-413-4604,678 Rappahannock Dr,White Stone,Virginia (VA),22578,37.647315,-76.391678
7bed475e80c,Roxane,Campain,Male,48,25,12,1975,roxane@hotmail.com,907-231-4722,24279 Rogers Clark Blvd,Ruther Glen,Virginia (VA),22546,37.939149,-77.465366
